name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Aquanaut,-,-,-,New,5167A,"Original box, original papers","United States of America, Florida, North Miami Beach",40.8 mm,"$71,925"
Patek Philippe Nautilus,Automatic,Rose gold,-,Very good,5723/112R-001,"No original box, no original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,Yellow gold,1997,Very good,5065J,"No original box, no original papers","United States of America, Georgia, Atlanta",38 mm,"$73,320"
Patek Philippe Gondolo,Manual winding,Yellow gold,-,Good,5024J,"Original box, original papers","Hong Kong, HONGKONG",30 x 38 mm,"$15,171"
Patek Philippe Nautilus,Manual winding,Rose gold,-,-,7118-1200R-010,"Original box, original papers","United States of America, New York, Great Neck",35 mm,"$129,999"
Patek Philippe Annual Calendar,Automatic,White gold,2015,Very good,5205G-001,"Original box, original papers","Germany, Berlin",40 mm,"$38,975"
Patek Philippe Chronograph,Manual winding,Platinum,2017,New,5170P-001,"Original box, original papers","Italy, MILANO - MUNICH - FROSINONE - MANFREDONIA",39.4 mm,"$127,503"
Patek Philippe Nautilus,Automatic,Steel,2010,Very good,5980/1A-014,"Original box, original papers","The Netherlands, Amsterdam",40 mm,"$133,572"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5968A-001,"Original box, original papers","UAE, Dubai",42.2 mm,"$139,000"
Patek Philippe World Time,Automatic,Rose gold,2020,New,5230R-014,"Original box, original papers","Monaco, Monaco",38.5 mm,"$62,916"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,-,Very good,-,"No original box, no original papers","United States of America, Florida, Sarasota",32 mm,"$8,996"
Patek Philippe Gondolo,Quartz,Rose gold,2024,New,4962/200R-001,"Original box, original papers","Austria, Wien",-,"$43,596"
Patek Philippe Twenty~4,Manual winding,Steel,2023,Very good,7300/1200A-011,"Original box, original papers","United Kingdom, London",36 mm,"$32,844"
Patek Philippe Nautilus,Automatic,White gold,-,Unworn,5712G-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,Price on request
Patek Philippe Beta 21,Quartz,White gold,1971,Very good,3587,"No original box, no original papers","United Kingdom, London",40 mm,"$71,031"
Patek Philippe Annual Calendar,Automatic,Platinum,2005,Very good,5035P,"Original papers, no original box","Italy, MILANO",37 mm,"$37,861"
Patek Philippe Aquanaut,Quartz,Steel,2022,New,5267/200A-011,"Original box, original papers","Germany, München",38.8 mm,"$54,008"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5296G,"No original box, no original papers","United States of America, Florida, Surfside",38 mm,"$27,980"
Patek Philippe Aquanaut,Automatic,Rose gold,2020,Unworn,5164R-001,"Original box, original papers","Turkey, Istanbul",40.8 mm,"$105,000"
Patek Philippe Nautilus,Automatic,White gold,2012,Very good,5713/1G-010,"Original box, original papers","Monaco, Monaco",40 mm,"$165,920"
Patek Philippe Twenty~4,Quartz,Steel,2000,Very good,-,"No original box, no original papers","United States of America, Michigan, Farmington Hills",25 mm,"$8,800"
Patek Philippe Gondolo,Quartz,Yellow gold,2001,Very good,4851,"No original box, no original papers","Germany, Mannheim",26 x 34.3 mm,"$12,025"
Patek Philippe Nautilus,Automatic,Rose gold,2021,Unworn,5711/1R-001,"Original box, original papers","Germany, Düsseldorf",40 mm,"$203,781"
Patek Philippe Nautilus,Automatic,Yellow gold,-,Very good,3800/1,"Original box, no original papers","Spain, Madrid",37 mm,"$65,700"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,4936G-001,"Original box, no original papers","Czech Republic, Praha 1",37 mm,"$37,750"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2017,Very good,5905P-010,"Original box, original papers","Italy, roma",42 mm,"$77,392"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5968R-001,"Original box, original papers","Hong Kong, Hong Kong",42 mm,"$132,664"
Patek Philippe Nautilus,Automatic,White gold,2023,New,5740/1G-001,"Original box, original papers","UAE, Dubai",40 mm,Price on request
Patek Philippe Aquanaut,Quartz,Steel,-,New,5267/200A-011,"Original box, original papers","United States of America, New York, New York",38.8 mm,"$53,950"
Patek Philippe World Time Chronograph,Automatic,White gold,-,Very good,5930G-001,"Original box, no original papers","United States of America, Massachusetts, Boston",39.5 mm,"$51,200"
Patek Philippe Annual Calendar,Automatic,White gold,2024,Unworn,5147G-001,"Original box, original papers",Spain,39 mm,"$66,702"
Patek Philippe Gondolo,Manual winding,White gold,2008,Very good,5124G-001,"Original box, original papers","Japan, Tokyo",33.4 mm,"$21,658"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,7118/1200A-001,"Original box, original papers","United Kingdom, London",35 mm,Price on request
Patek Philippe Twenty~4,Quartz,Steel,-,New,4910/1200A-010,"Original box, original papers","United States of America, California, Newport Beach",25 x 30 mm,"$17,500"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,Very good,5320G-001,"Original box, original papers","Hong Kong, HONG KONG",40 mm,"$65,675"
Patek Philippe World Time Chronograph,Automatic,Platinum,2022,New,5930P-001,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",39.5 mm,Price on request
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2023,New,5270/1R-001,"Original box, original papers","United States of America, Illinois, Springfield",41 mm,"$190,000"
Patek Philippe Aquanaut,Quartz,Steel,-,New,5267/200A-011,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong",38.8 mm,"$51,358"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,1990,Good,3970/2,"Original papers, no original box","United Kingdom, London",36 mm,"$155,747"
Patek Philippe Nautilus,Automatic,Red gold,-,Fair,5980R-001,"Original box, no original papers","Japan, Fukuoka Chuo-ku, Fukuoka",40.5 x 38.5 mm,"$142,915"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,5968R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$142,630"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2023,New,5905R-001,"Original box, original papers","UAE, Dubai",42 mm,Price on request
Patek Philippe Gondolo,Manual winding,Rose gold,-,Very good,5111R,"Original papers, no original box","United States of America, Florida, Surfside",30 x 36 mm,"$20,280"
Patek Philippe Calatrava,Automatic,White gold,2024,New,5924G-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",42 mm,Price on request
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2021,New,5270P-001,"Original box, original papers","United States of America, New York, New york",41 mm,"$194,300"
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5723/1R-001,"Original box, original papers","France, Paris",40 mm,"$452,105"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5712/1A-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$135,000"
Patek Philippe Nautilus,Automatic,White gold,2019,Very good,5740/1G-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$230,000"
Patek Philippe Grandmaster Chime,Manual winding,White gold,2023,New,6300/401G-001,"Original box, original papers","United Kingdom, London",49.4mm mm,Price on request
Patek Philippe Gondolo,Manual winding,Rose gold,-,Very good,5100R-001,"Original box, original papers","United States of America, New York, Great Neck",34 mm,"$40,999"
Patek Philippe,Manual winding,Yellow gold,-,Good,3528/2,"No original box, no original papers","United States of America, Florida, Surfside",31 x 26 mm,"$7,700"
Patek Philippe,Automatic,White gold,2024,New,7118/1450G-001,"Original box, original papers","Spain, Madrid",-,Price on request
Patek Philippe Annual Calendar,Automatic,Yellow gold,2011,Unworn,5146J-001,"Original box, original papers","United States of America, Massachusetts, Boston",39 mm,"$38,000"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,2451,"No original box, no original papers","United States of America, Florida, Surfside",30 mm,"$16,020"
Patek Philippe Complications,Manual winding,White gold,2021,Unworn,5172G-001,"Original box, original papers","United Kingdom, London",41 mm,"$69,070"
Patek Philippe Annual Calendar,-,-,2017,Very good,-,"No original box, no original papers","United States of America, New Jersey, Princeton",-,"$53,500"
Patek Philippe Calatrava,Automatic,Yellow gold,1966,Very good,3435J,"No original box, no original papers","Singapore, Singapore",34 mm,"$41,600"
Patek Philippe Nautilus,Automatic,Steel,2015,Very good,5711/1A-011,"Original box, original papers","France, Bastia",40 x 38 mm,"$94,653"
Patek Philippe,Automatic,White gold,2024,New,5924G,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",-,"$74,900"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,5260/355R-001,"Original box, original papers","United States of America, New York, New York",39 mm,Price on request
Patek Philippe Calatrava,Automatic,Rose gold,-,-,7200/200R-001,"No original box, no original papers","United States of America, Texas, Austin",6 mm,Price on request
Patek Philippe Twenty~4,Automatic,Steel,-,Unworn,4910/1200A-010,"Original box, original papers","United States of America, New York, New York",30 mm,Price on request
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2023,Unworn,5270P-014,"Original box, original papers","United States of America, New York, New York",41 mm,"$219,995"
Patek Philippe Calatrava,Automatic,Rose gold,2023,New,5224R-001,"Original box, original papers","United States of America, New York, New York",-,"$60,000"
Patek Philippe Annual Calendar,Automatic,Rose gold,2019,Unworn,5146R-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$53,600"
Patek Philippe Complications,Automatic,Steel,-,Unworn,5212A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$45,985"
Patek Philippe Pagoda,Manual winding,Yellow gold,1997,Very good,5500J-001,"No original box, no original papers","Hong Kong, Kwun Tong",-,"$22,854"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,-,Good,-,"No original box, no original papers","United States of America, Florida, Boca Raton",-,"$9,500"
Patek Philippe Aquanaut,Automatic,Rose gold,2023,Unworn,5167R-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$83,500"
Patek Philippe Gondolo,Automatic,Rose gold,2008,Very good,5135R-001,"Original box, original papers","Malaysia, Petaling Jaya",51 x 38 mm,"$30,100"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2018,New,5960/1A-010,"Original box, original papers","Switzerland, Geneve",40.5 mm,"$94,653"
Patek Philippe Aquanaut,Automatic,White gold,2022,Unworn,5168G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$84,995"
Patek Philippe Aquanaut,Automatic,White gold,2021,Very good,5968G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$124,000"
Patek Philippe Calatrava,Manual winding,White gold,2020,New,4897/300G-001,"Original box, original papers","UAE, Dubai",33 mm,Price on request
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5261R-001,"Original box, original papers","United States of America, New York, New York",39.9 mm,"$170,000"
Patek Philippe Twenty~4,Automatic,Steel,2020,Very good,7300/1200A-001,"Original box, original papers","United States of America, New York, Hartsdale",36 mm,"$24,900"
Patek Philippe Annual Calendar,Automatic,Rose gold,2013,Very good,5396/1R-010,"Original box, original papers","United States of America, New York, NY",38.5 mm,"$54,838"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,-,New,5960R-012,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,Steel,2020,Unworn,5167A-001,"Original box, original papers","Switzerland, Crassier",27 mm,"$65,344"
Patek Philippe Nautilus,Automatic,White gold,2022,Unworn,5740/1G-001,"Original box, original papers","United States of America, Texas, Austin",40 mm,"$223,499"
Patek Philippe World Time,Automatic,Platinum,2023,New,5230P-001,"Original box, original papers","Austria, Wien",38.5 mm,"$69,542"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,New,4947R-001,"Original box, original papers","Japan, Tokyo",38 mm,"$65,807"
Patek Philippe Twenty~4,Quartz,Steel,2024,New,4910/1200A-011,"Original box, original papers","United States of America, New York, New York",25.1 x 30 mm,"$14,950"
Patek Philippe Calatrava,Automatic,White gold,2023,Unworn,6007G-010,"Original box, original papers","Australia, Point Cook",40 mm,"$47,886"
Patek Philippe Perpetual Calendar,Automatic,White gold,2021,Unworn,5327G-001 Grand Complications,"Original box, original papers","Germany, Altheim",39 mm,"$76,279"
Patek Philippe Perpetual Calendar,Automatic,White gold,2008,Very good,5159G-001,"Original box, original papers","Germany, Berlin",38 mm,"$50,500"
Patek Philippe Chronograph,Manual winding,White gold,2022,New,5172G-010,"Original box, original papers","United States of America, New York, Hartsdale",41 mm,"$89,900"
Patek Philippe Chronograph,Manual winding,White gold,2017,Very good,5170G-010,"Original box, original papers","United Kingdom, London",39.4 mm,"$80,806"
Patek Philippe Vintage,Manual winding,Yellow gold,1940,Very good,9671,"No original box, no original papers","United States of America, Georgia, Suwanee",30 x 36 mm,"$7,988"
Patek Philippe Aquanaut,Automatic,White gold,2022,New,5968G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$135,888"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,New,5320G-011,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$77,499"
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,-,Unworn,5940J-001,"Original box, original papers","United States of America, New York, New York",37 x 44.6 mm,Price on request
Patek Philippe Calatrava,Manual winding,Rose gold,2022,New,6119R-001,"Original box, original papers","Switzerland, lugano",39 mm,"$31,180"
Patek Philippe World Time,Automatic,White gold,2014,Very good,5575G-001,"Original box, original papers","United Kingdom, Kingston Upon Hull",39.8 mm,"$129,681"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5711,"Original box, original papers","United States of America, New York, Great Neck",27 mm,"$109,999"
Patek Philippe Calatrava,-,Yellow gold,1965,Very good,3425,"No original box, no original papers","United States of America, New Hampshire, Nashua",33 mm,"$14,000"
Patek Philippe Minute Repeater Perpetual Calendar,Manual winding,White gold,-,Unworn,5207G-001,"Original box, original papers","United Kingdom, London",41 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Platinum,2005,Very good,5035P,"Original papers, no original box","Italy, MILANO",37 mm,"$37,861"
Patek Philippe Complications,Automatic,Yellow gold,-,Very good,5055J-001,"Original box, no original papers","Czech Republic, Praha 1",36 mm,"$27,728"
Patek Philippe Calatrava,-,Yellow gold,2014,-,5227J-001,"Original box, original papers","United States of America, Texas, Dallas",39 mm,"$32,635"
Patek Philippe Aquanaut,Automatic,White gold,2018,Very good,5168G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$82,500"
Patek Philippe Calatrava,Automatic,-,-,Very good,5524G-001,"Original box, no original papers","United States of America, Florida, North Miami Beach",42 mm,"$40,950"
Patek Philippe,Manual winding,Rose gold,1940,Good,2436,"No original box, no original papers","The Netherlands, Amsterdam",-,"$17,260"
Patek Philippe Aquanaut,Automatic,Steel,2024,Unworn,5167A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$71,500"
Patek Philippe Nautilus,Quartz,Rose gold,2024,New,7010R-013,"Original box, original papers","United States of America, Pennsylvania, Moosic",32 mm,"$52,500"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5726/1A-010,"Original box, original papers","United Kingdom, Epping",40.5 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,-,New,5205G-001,"Original box, original papers","Singapore, Singapore",40 mm,Price on request
Patek Philippe Twenty~4,Quartz,Rose gold,2011,Very good,4910/11R-010,"Original box, original papers","Poland, Kraków",25 x 30 mm,"$29,509"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,5196R,"No original box, no original papers","The Netherlands, Amstelveen",37 mm,"$21,102"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2022,New,5905R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$78,000"
Patek Philippe Nautilus,Automatic,Gold/Steel,2015,New,5980/1AR-001,"Original box, original papers","Spain, Barcelona",40.5 x 38.5 mm,"$193,759"
Patek Philippe Nautilus,Automatic,Steel,2023,Unworn,5990/1A-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$142,775"
Patek Philippe Nautilus,Quartz,Rose gold,2023,New,7010R-013,"Original box, original papers","United Kingdom, London",32 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2021,Unworn,7118/1200A-010,"Original box, original papers","United States of America, New York, New York",35.2 mm,"$72,500"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5072R-001,"Original box, original papers","United Kingdom, London",35.6 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,2024,Unworn,4947G-010,"Original box, original papers","Spain, Madrid",38 mm,"$63,473"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,-,Fair,4226,"No original box, no original papers","Germany, Essen",23 x 28 mm,"$6,347"
Patek Philippe Golden Ellipse,-,White gold,1970,Good,4226,"No original box, no original papers","Germany, Erkrath",23 mm,"$6,680"
Patek Philippe Annual Calendar,Automatic,White gold,2017,Very good,5396G,"Original papers, no original box","Austria, Wien",39 mm,"$55,567"
Patek Philippe,Manual winding,Yellow gold,1990,Very good,865,"No original box, no original papers","United States of America, Texas, Dallas",48 mm,"$17,950"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2024,Unworn,5271/12P-010,"Original box, original papers","United States of America, Florida, Miami",41 mm,"$692,634"
Patek Philippe Calatrava,Automatic,Steel,-,Very good,5212A-001,"No original box, no original papers","United States of America, New York, Hartsdale",40 mm,"$37,000"
Patek Philippe Nautilus,Automatic,Steel,2006,Very good,3712/1A-001,"Original box, original papers","Monaco, monaco",39 mm,"$187,635"
Patek Philippe Annual Calendar,Automatic,Rose gold,2024,New,5235/50R-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",40.5 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,2023,New,5924G-001,"Original box, original papers","The Netherlands, Amsterdam",42 mm,"$94,541"
Patek Philippe Calatrava,Manual winding,Rose gold,2022,Very good,6119R-001,"Original box, original papers","United Kingdom, London",39 mm,"$28,021"
Patek Philippe Complications,Automatic,Rose gold,2023,New,5224R-001,"Original box, original papers","United States of America, Florida, Miami",-,"$55,499"
Patek Philippe Vintage,Manual winding,Yellow gold,1913,Good,Vintage,"Original papers, no original box","Germany, Hamburg","27,5 mm","$8,897"
Patek Philippe Calatrava,Automatic,White gold,2024,Unworn,6007G-010,"Original box, original papers","United Kingdom, London",40 mm,"$43,010"
Patek Philippe Twenty~4,Automatic,Rose gold,2024,New,7300/1200R-011,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",36 mm,Price on request
Patek Philippe,Automatic,White gold,-,Fair,5226G-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",40 mm,"$45,235"
Patek Philippe Calatrava,Manual winding,White gold,2019,Very good,4897G-001,"Original papers, no original box","United States of America, New Jersey, Chatham",33 mm,"$19,000"
Patek Philippe Nautilus,Automatic,Steel,2011,Unworn,5726,"Original box, original papers","United Kingdom, London",40 mm,"$77,548"
Patek Philippe Aquanaut,Automatic,Steel,2024,Unworn,5167A-001,"Original box, original papers","France, Paris",40 mm,"$78,283"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,5022R,"No original box, no original papers","Taiwan, Taipei",33 mm,"$12,000"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4920,"No original box, no original papers","United States of America, Florida, Surfside",25 x 30 mm,"$18,720"
Patek Philippe Nautilus,Automatic,Steel,2011,Good,5712/1A-001,"Original box, original papers","Singapore, Singapore",40 x 38 mm,"$101,219"
Patek Philippe Calatrava,Automatic,Rose gold,2021,New,5524R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$39,995"
Patek Philippe Twenty~4,Quartz,Steel,2020,Very good,4910/1200A-001,"Original box, original papers","Japan, Chuo-Ku",25.1 x 30 mm,"$11,623"
Patek Philippe Aquanaut,-,-,-,New,5267/200A-010,"Original box, original papers","United States of America, Florida, North Miami Beach",38.8 mm,"$57,750"
Patek Philippe Nautilus,Automatic,Steel,2024,New,5726A-001,"Original box, original papers","Hong Kong, Hong Kong",40.5 mm,"$91,945"
Patek Philippe Gondolo,Manual winding,Yellow gold,2018,Good,5124J-001,"Original box, original papers","Malaysia, Petaling Jaya",33.4 x 43 mm,"$18,200"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5146G-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$39,500"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5153G-001,"No original box, no original papers","Hong Kong, KOWLOON",38 x 39 mm,"$25,000"
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5711/1A-011,"Original box, original papers","Italy, Parma",40 x 38 mm,Price on request
Patek Philippe Aquanaut,Automatic,White gold,2021,Very good,5168G,"Original box, original papers","Italy, Andria",-,Price on request
Patek Philippe Perpetual Calendar Chronograph,-,-,2019,Very good,-,"Original box, original papers","Belgium, Uccle",-,Price on request
Patek Philippe Perpetual Calendar,Automatic,White gold,-,Fair,5320G-001,"Original box, original papers","Japan, Tokyo",40 mm,"$58,797"
Patek Philippe Nautilus,Automatic,Rose gold,-,New,5980/1R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong ( By Appointment Only )",40.5 mm,"$215,414"
Patek Philippe Calatrava,Automatic,Rose gold,2017,Very good,5153R-001,"Original box, original papers","Hong Kong, Kwun Tong",38 mm,"$34,326"
Patek Philippe Calatrava,Automatic,Rose gold,-,Very good,5524R-001,"Original box, original papers","Hong Kong, HONG KONG",42 mm,"$41,974"
Patek Philippe,Manual winding,White gold,-,Very good,4184/1G,"No original box, no original papers","Japan, 京都市",25 mm,"$7,413"
Patek Philippe Golden Ellipse,Manual winding,White gold,1970,Very good,2566,"Original box, no original papers","The Netherlands, Goor","31,6 x 28,2 mm","$8,741"
Patek Philippe Travel Time,Manual winding,White gold,-,-,7134G-001,"No original box, no original papers","United States of America, Texas, Austin",35 mm,Price on request
Patek Philippe,Manual winding,Rose gold,1887,Good,80.117,"Original box, original papers","Germany, Heidelberg",-,"$77,392"
Patek Philippe Gondolo,Manual winding,Rose gold,2000,New,5100R,"Original box, original papers","Spain, Madrid",34 x 46 mm,"$57,571"
Patek Philippe Aquanaut,Automatic,Rose gold,2019,New,5164R-001,"Original box, original papers","United Kingdom, Fareham",40.8 mm,"$110,131"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,Very good,5059G,"Original box, original papers","United States of America, New York, Greenvale",36 mm,"$48,799"
Patek Philippe World Time,Automatic,White gold,-,Unworn,7130G-010,"No original box, no original papers","Hong Kong, Kwun Tong",-,"$39,683"
Patek Philippe,-,Platinum,1940,Very good,600,"Original box, original papers","Brazil, São Paulo","43,5 mm","$13,032"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5711/1A-011,"Original box, original papers","United States of America, New York, NEW YORK",40 x 38 mm,"$115,000"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,1980,Good,3848,"No original box, no original papers","Poland, Kraków",27 x 32 mm,"$13,058"
Patek Philippe Gondolo,Automatic,Yellow gold,-,Very good,5030J-001,"Original box, no original papers","Germany, Berlin",34 x 41 mm,"$22,000"
Patek Philippe Calatrava,Automatic,Steel,-,New,5522A-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$58,000"
Patek Philippe Minute Repeater Perpetual Calendar,Automatic,White gold,-,New,5207G-001,"Original box, original papers","United States of America, New York, New York",41 mm,"$1,050,500"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5711/1A-010,"Original box, original papers","United States of America, New York, NEW YORK",40 x 38 mm,"$124,250"
Patek Philippe Nautilus,-,Rose gold,2020,Unworn,7021/1R-001,"Original box, original papers","United States of America, New York, New York",33.6 mm,"$500,245"
Patek Philippe Calatrava,Automatic,Rose gold,2020,Good,5524R-001,"Original box, original papers","Hong Kong, Hongkong",42 mm,"$40,719"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4908/200G-011,"No original box, no original papers","United States of America, Florida, Boca Raton",22 x 26 mm,"$19,950"
Patek Philippe Perpetual Calendar,Automatic,White gold,2022,New,5327G-001,"Original box, original papers","Germany, Bamberg",39 mm,"$90,766"
Patek Philippe Complications,-,-,2023,Unworn,5924G-010,"Original box, original papers","Germany, Düsseldorf",-,"$76,279"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5726A-001,"Original box, original papers","United Kingdom, London",40.5 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2024,Unworn,7118/1200A-011,"Original box, original papers","United States of America, Florida, Miami",35.2 mm,"$90,187"
Patek Philippe Annual Calendar,Automatic,Platinum,-,Very good,5035P,"Original box, original papers","Czech Republic, Praha 1",37 mm,"$36,636"
Patek Philippe Nautilus,Automatic,Rose gold,2022,New,7118/1450R,"Original box, original papers","Switzerland, Geneva",35.2 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2015,Very good,5712/1A-001,"Original box, original papers","Germany, Köln",40 x 38 mm,"$104,563"
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,-,Unworn,5140J-001,"Original box, original papers","Germany, Köln",37.2 mm,"$54,564"
Patek Philippe Golden Ellipse,Automatic,Yellow gold,-,Very good,3738/100J-012,"No original box, no original papers","Hong Kong, HONG KONG",-,"$18,066"
Patek Philippe Aquanaut,Automatic,Rose gold,2019,Very good,5164,"Original box, original papers","Austria, Baden bei Wien",40 mm,Price on request
Patek Philippe Nautilus,Automatic,Gold/Steel,1979,Very good,3700/1,"No original box, no original papers","Italy, ROMA",40 mm,"$111,222"
Patek Philippe World Time,Automatic,White gold,-,Unworn,7130G-016,"Original box, original papers","United States of America, New York, New York",36 mm,"$49,899"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,-,5205R-010,"No original box, no original papers","United States of America, Texas, Austin",40 mm,Price on request
Patek Philippe Aquanaut,Quartz,Steel,2023,New,5267/200A-011,"Original box, original papers","United Kingdom, Leicestershire",38.8 mm,"$54,088"
Patek Philippe Calatrava,Automatic,Yellow gold,2012,Very good,5127J-001,"Original box, original papers","United Kingdom, London",37 mm,"$27,370"
Patek Philippe Minute Repeater,Automatic,White gold,-,Very good,5178G-001,"Original box, original papers","Hong Kong, Hong Kong",40 mm,Price on request
Patek Philippe Travel Time,Automatic,White gold,2017,Good,5524G-001,"Original box, original papers","Hong Kong, Kowloon",42 mm,"$34,545"
Patek Philippe,-,-,-,Good,-,"No original box, no original papers","Belgium, antwerpen",-,Price on request
Patek Philippe Annual Calendar,Automatic,Rose gold,2019,Very good,5396R,"Original papers, no original box","Hong Kong, 999077",38 x 38.5 mm,"$56,051"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Yellow gold,2024,Unworn,5270J-001,"Original box, original papers","Germany, Düsseldorf",41 mm,"$209,928"
Patek Philippe Annual Calendar Chronograph,-,Rose gold,2023,New,5905R-010,"Original box, original papers","United States of America, New York, New York",-,"$78,000"
Patek Philippe Gondolo,Manual winding,White gold,-,Very good,5109G,"No original box, no original papers","United States of America, Florida, Surfside",30 x 34 mm,"$19,240"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Good,2482,"No original box, no original papers","Japan, 大阪市",36 mm,"$11,669"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5147G-001,"Original box, original papers","Hong Kong, HONG KONG",39 mm,"$43,346"
Patek Philippe Annual Calendar,Automatic,Yellow gold,2007,Very good,5146/1J-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$53,500"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,5196R,"No original box, no original papers","United States of America, California, Newport Beach",37 mm,"$19,750"
Patek Philippe Calatrava,-,Yellow gold,-,Good,4809/2,"Original box, original papers","United States of America, Florida, Miami",25 mm,"$14,525"
Patek Philippe Twenty~4,Quartz,White gold,2008,Very good,4920G-010,"Original papers, no original box","Spain, Madrid",25 x 30 mm,"$15,033"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2023,Unworn,5270P-014,"Original box, original papers","United Kingdom, Bishops Stortford",41 mm,"$188,917"
